"M2ID","B1SPWBU2","B1STINC1","B1PAGE_M2.x","B1PGENDER","B2DN_STR","race","marital","B1SQ2","B1SQ1","B1SQ3","B2DNEGAV","meanNA","sdNA","gender"
10005,48,0,80,2,0,1,0,10,10,10,0,0.00875,0.024749,0
10005,48,0,80,2,0,1,0,10,10,10,0,0.00875,0.024749,0
10005,48,0,80,2,0,1,0,10,10,10,0,0.00875,0.024749,0
10005,48,0,80,2,0,1,0,10,10,10,0.07,0.00875,0.024749,0
10005,48,0,80,2,0,1,0,10,10,10,0,0.00875,0.024749,0
10005,48,0,80,2,0,1,0,10,10,10,0,0.00875,0.024749,0
10005,48,0,80,2,0,1,0,10,10,10,0,0.00875,0.024749,0
10005,48,0,80,2,0,1,0,10,10,10,0,0.00875,0.024749,0
10015,38,126250,53,2,0,1,1,8,7,9,0.14,0.13375,0.130706,0
10015,38,126250,53,2,0,1,1,8,7,9,0,0.13375,0.130706,0
10015,38,126250,53,2,0,1,1,8,7,9,0.07,0.13375,0.130706,0
10015,38,126250,53,2,0,1,1,8,7,9,0.07,0.13375,0.130706,0
10015,38,126250,53,2,1,1,1,8,7,9,0.36,0.13375,0.130706,0
10015,38,126250,53,2,1,1,1,8,7,9,0.14,0.13375,0.130706,0
10015,38,126250,53,2,0,1,1,8,7,9,0,0.13375,0.130706,0
10015,38,126250,53,2,0,1,1,8,7,9,0.29,0.13375,0.130706,0
10019,40,162500,51,1,0,1,1,7,8,8,0,0.152857,0.157873,1
10019,40,162500,51,1,0,1,1,7,8,8,0.07,0.152857,0.157873,1
10019,40,162500,51,1,0,1,1,7,8,8,0.14,0.152857,0.157873,1
10019,40,162500,51,1,1,1,1,7,8,8,0.29,0.152857,0.157873,1
10019,40,162500,51,1,0,1,1,7,8,8,0,0.152857,0.157873,1
10019,40,162500,51,1,1,1,1,7,8,8,0.07,0.152857,0.157873,1
10019,40,162500,51,1,1,1,1,7,8,8,0.43,0.152857,0.157873,1
10019,40,162500,51,1,1,1,1,7,8,8,0.14,0.152857,0.157873,1
10023,36,14000,78,2,0,1,0,9,8,3,0.07,0.212857,0.125129,0
10023,36,14000,78,2,0,1,0,9,8,3,0.21,0.212857,0.125129,0
10023,36,14000,78,2,1,1,0,9,8,3,0.21,0.212857,0.125129,0
10023,36,14000,78,2,1,1,0,9,8,3,0.14,0.212857,0.125129,0
10023,36,14000,78,2,1,1,0,9,8,3,0,0.212857,0.125129,0
10023,36,14000,78,2,1,1,0,9,8,3,0.36,0.212857,0.125129,0
10023,36,14000,78,2,0,1,0,9,8,3,0.21,0.212857,0.125129,0
10023,36,14000,78,2,0,1,0,9,8,3,0.36,0.212857,0.125129,0
10028,48,38750,63,2,2,1,1,5,9,9,0,0.2775,0.221279,0
10028,48,38750,63,2,2,1,1,5,9,9,0.43,0.2775,0.221279,0
10028,48,38750,63,2,3,1,1,5,9,9,0.36,0.2775,0.221279,0
10028,48,38750,63,2,1,1,1,5,9,9,0,0.2775,0.221279,0
10028,48,38750,63,2,0,1,1,5,9,9,0.43,0.2775,0.221279,0
10028,48,38750,63,2,2,1,1,5,9,9,0.57,0.2775,0.221279,0
10028,48,38750,63,2,2,1,1,5,9,9,0.07,0.2775,0.221279,0
10028,48,38750,63,2,3,1,1,5,9,9,0.36,0.2775,0.221279,0
10037,22,63500,42,1,0,1,1,5,5,8,0,0.155,0.19491,1
10037,22,63500,42,1,0,1,1,5,5,8,0.07,0.155,0.19491,1
10037,22,63500,42,1,0,1,1,5,5,8,0.14,0.155,0.19491,1
10037,22,63500,42,1,1,1,1,5,5,8,0.43,0.155,0.19491,1
10037,22,63500,42,1,0,1,1,5,5,8,0,0.155,0.19491,1
10037,22,63500,42,1,0,1,1,5,5,8,0,0.155,0.19491,1
10037,22,63500,42,1,0,1,1,5,5,8,0.07,0.155,0.19491,1
10037,22,63500,42,1,2,1,1,5,5,8,0.36,0.155,0.19491,1
10040,42,151250,49,1,3,1,1,4,8,9,0.07,0.08875,0.100062,1
10040,42,151250,49,1,2,1,1,4,8,9,0,0.08875,0.100062,1
10040,42,151250,49,1,1,1,1,4,8,9,0.29,0.08875,0.100062,1
10040,42,151250,49,1,3,1,1,4,8,9,0.14,0.08875,0.100062,1
10040,42,151250,49,1,0,1,1,4,8,9,0.07,0.08875,0.100062,1
10040,42,151250,49,1,0,1,1,4,8,9,0,0.08875,0.100062,1
10040,42,151250,49,1,1,1,1,4,8,9,0.14,0.08875,0.100062,1
10040,42,151250,49,1,0,1,1,4,8,9,0,0.08875,0.100062,1
10046,31,44250,43,2,0,1,1,7,8,9,0.07,0.081429,0.145651,0
10046,31,44250,43,2,0,1,1,7,8,9,0,0.081429,0.145651,0
10046,31,44250,43,2,0,1,1,7,8,9,0,0.081429,0.145651,0
10046,31,44250,43,2,0,1,1,7,8,9,0,0.081429,0.145651,0
10046,31,44250,43,2,0,1,1,7,8,9,0.36,0.081429,0.145651,0
10046,31,44250,43,2,0,1,1,7,8,9,0,0.081429,0.145651,0
10046,31,44250,43,2,1,1,1,7,8,9,0.21,0.081429,0.145651,0
